NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS
Lake of the Woods,Minnesota,27,077,27077
Ferry,Washington,53,019,53019
Stevens,Washington,53,065,53065
Okanogan,Washington,53,047,53047
Pend Oreille,Washington,53,051,53051
Boundary,Idaho,16,021,16021
Lincoln,Montana,30,053,30053
Flathead,Montana,30,029,30029
Glacier,Montana,30,035,30035
Toole,Montana,30,101,30101
Liberty,Montana,30,051,30051
Hill,Montana,30,041,30041
Sheridan,Montana,30,091,30091
Divide,North Dakota,38,023,38023
Burke,North Dakota,38,013,38013
Renville,North Dakota,38,075,38075
Bottineau,North Dakota,38,009,38009
Rolette,North Dakota,38,079,38079
Towner,North Dakota,38,095,38095
Cavalier,North Dakota,38,019,38019
Pembina,North Dakota,38,067,38067
Kittson,Minnesota,27,069,27069
Roseau,Minnesota,27,135,27135
Blaine,Montana,30,005,30005
Phillips,Montana,30,071,30071
Valley,Montana,30,105,30105
Daniels,Montana,30,019,30019
Whatcom,Washington,53,073,53073
Bonner,Idaho,16,017,16017
Ward,North Dakota,38,101,38101
Koochiching,Minnesota,27,071,27071
Skagit,Washington,53,057,53057
Williams,North Dakota,38,105,38105
McHenry,North Dakota,38,049,38049
St. Louis,Minnesota,27,137,27137
San Juan,Washington,53,055,53055
Roosevelt,Montana,30,085,30085
Mountrail,North Dakota,38,061,38061
Marshall,Minnesota,27,089,27089
Ramsey,North Dakota,38,071,38071
Walsh,North Dakota,38,099,38099
Beltrami,Minnesota,27,007,27007
Pierce,North Dakota,38,069,38069
Chelan,Washington,53,007,53007
Pondera,Montana,30,073,30073
Clallam,Washington,53,009,53009
Benson,North Dakota,38,005,38005
Chouteau,Montana,30,015,30015
Snohomish,Washington,53,061,53061
Island,Washington,53,029,53029
Sanders,Montana,30,089,30089
Lake,Minnesota,27,075,27075
Nelson,North Dakota,38,063,38063
Grand Forks,North Dakota,38,035,38035
Polk,Minnesota,27,119,27119
Pennington,Minnesota,27,113,27113
Douglas,Washington,53,017,53017
McKenzie,North Dakota,38,053,38053
Jefferson,Washington,53,031,53031
Richland,Montana,30,083,30083
Teton,Montana,30,099,30099
McCone,Montana,30,055,30055
Shoshone,Idaho,16,079,16079
Spokane,Washington,53,063,53063
Lake,Montana,30,047,30047
Clearwater,Minnesota,27,029,27029
Kootenai,Idaho,16,055,16055
Garfield,Montana,30,033,30033
Red Lake,Minnesota,27,125,27125
Grant,Washington,53,025,53025
Lincoln,Washington,53,043,53043
Lewis and Clark,Montana,30,049,30049
Kitsap,Washington,53,035,53035
Itasca,Minnesota,27,061,27061
Sheridan,North Dakota,38,083,38083
Wells,North Dakota,38,103,38103
McLean,North Dakota,38,055,38055
Eddy,North Dakota,38,027,38027
Dunn,North Dakota,38,025,38025
Fergus,Montana,30,027,30027
Dawson,Montana,30,021,30021
King,Washington,53,033,53033
Cascade,Montana,30,013,30013
Griggs,North Dakota,38,039,38039
Steele,North Dakota,38,091,38091
Traill,North Dakota,38,097,38097
Mason,Washington,53,045,53045
Missoula,Montana,30,063,30063
Petroleum,Montana,30,069,30069
Powell,Montana,30,077,30077
Kittitas,Washington,53,037,53037
